Sector,Company,Model,MAE,RMSE,MAPE,NRMSE,R2
Energy,IOC.NS,SimpleRNN,2.123356032797552,3.232446158464198,2.239866369789526,2.233895170497171,0.9912123261715462
Energy,IOC.NS,CNN1D,2.298443390910934,3.4587097345000677,2.444597224144557,2.3902625421368886,0.9899390367690978
Energy,BPCL.NS,LSTM,5.154357741550847,7.113633865231872,2.497526467155461,2.9823429796416376,0.9800056397251038
Energy,BPCL.NS,GRU,3.388512700960782,4.974296115909024,1.6097907208951945,2.0854400691672916,0.9902234018174921
Energy,BPCL.NS,SimpleRNN,10.771170790024225,11.831590285108497,5.344769472291936,4.960314361588157,0.9446890980559633
Energy,BPCL.NS,CNN1D,6.225726522793427,8.733761250603601,3.0002978810097876,3.6615704497963786,0.9698611187267103
Healthcare,SUNPHARMA.NS,LSTM,18.221759068971593,24.74450396420105,2.1388336773841328,1.5234887766722418,0.9962480588580349
Healthcare,SUNPHARMA.NS,GRU,15.947306329813125,19.121952608891302,2.122492921413232,1.1773151819834837,0.9977594069351543
Healthcare,SUNPHARMA.NS,SimpleRNN,13.28713360094974,19.585667112046128,1.5234407315835454,1.2058655155104192,0.997649418845957
Healthcare,SUNPHARMA.NS,CNN1D,17.21254998076664,21.986941018928363,2.4480077980283186,1.3537090064182844,0.9970377061621623
Healthcare,DRREDDY.NS,LSTM,19.53338258514088,25.848770879918387,2.051837486418624,2.8281550405799996,0.9876451088667648
Healthcare,DRREDDY.NS,GRU,10.095871417542,14.446498789723586,1.1306309351242354,1.5806143572819127,0.996140915040111
Healthcare,DRREDDY.NS,SimpleRNN,37.67442463766417,44.31584908783235,3.8758889746332104,4.848667372138174,0.9636857333360209
Healthcare,DRREDDY.NS,CNN1D,21.88533654871517,29.48216500337119,2.309507098095035,3.2256904573467575,0.983927705787531
Healthcare,CIPLA.NS,LSTM,32.15364075503364,43.497512364369044,3.122006797744247,3.331100686993669,0.9821392992561881
Healthcare,CIPLA.NS,GRU,18.559962323493036,22.159452055395334,2.270050780263378,1.697002011213783,0.9953645949675107
Healthcare,CIPLA.NS,SimpleRNN,18.33604768197868,28.286461942059045,1.8145523704825388,2.16621704750632,0.9924468708197386
Healthcare,CIPLA.NS,CNN1D,20.331221295444596,26.61386265305235,2.4366283577647763,2.038127041024954,0.9933137058897609
Healthcare,DIVISLAB.NS,LSTM,99.86961391304412,134.37264780402006,2.5011020494750924,3.399171396444109,0.9645204262894587
Healthcare,DIVISLAB.NS,GRU,52.03885452211359,75.26345984394628,1.3382131710386134,1.9039097917612675,0.9888692353303326
Healthcare,DIVISLAB.NS,SimpleRNN,77.05840167597765,109.1324513131346,1.8812705736533104,2.760680190424426,0.9765973809150916
Healthcare,DIVISLAB.NS,CNN1D,81.31399144637454,117.154583958473,2.09559378523279,2.9636128874587624,0.9730303559051986
Technology,INFY.NS,LSTM,37.97227136767599,49.61986749670698,2.7513328681836695,3.441880396952637,0.9839934429128134
Technology,INFY.NS,GRU,16.496990747117625,22.593176472120913,1.363196725208417,1.5671749064917442,0.9966815038621085
Technology,INFY.NS,SimpleRNN,27.668236471736435,38.270415883696934,1.9475741117032808,2.654626077388518,0.9904783307636748
Technology,INFY.NS,CNN1D,37.95368172162483,47.60341111125705,2.944162995376237,3.3020089693465335,0.9852679604710938
Technology,TCS.NS,LSTM,59.839885323157276,77.03129669260689,1.783778570872339,3.0355366565159927,0.9772780991305259
Technology,TCS.NS,GRU,35.73209391666666,48.76505428531459,1.0628797878125207,1.9216619243834148,0.9908939995441075
Technology,TCS.NS,SimpleRNN,84.62183710524938,111.5889214757851,2.327690611700467,4.397332982106484,0.9523182261209144
Technology,TCS.NS,CNN1D,63.25648287744141,81.58983603509941,1.8537713450443878,3.215172906565441,0.9745092646290098
Technology,WIPRO.NS,LSTM,6.704983644297792,9.63825053367902,1.5897537837554068,1.723732565291372,0.9944355741986096
Technology,WIPRO.NS,GRU,7.850318714639946,9.537540358915335,2.1227815298574706,1.7057212667377863,0.9945512521445639
Technology,WIPRO.NS,SimpleRNN,8.015352922193781,11.217042584540316,1.9339064739262577,2.0060882959691857,0.992463309674796
Technology,WIPRO.NS,CNN1D,34.81190035679011,42.09188564878214,7.6585431368940675,7.5278344107985395,0.8938742683402691
Technology,HCLTECH.NS,LSTM,68.91528253320384,83.19908067702941,5.5809047984747995,6.289619097309076,0.9127030845362747
Technology,HCLTECH.NS,GRU,15.82991447143979,20.97185720513574,1.4168872497873206,1.5854140756134414,0.9944532878605913
Technology,HCLTECH.NS,SimpleRNN,57.28172075051375,82.07157081169993,4.268610630498772,6.204382487437032,0.9150531390316321
Technology,HCLTECH.NS,CNN1D,32.7960992323872,40.441887295449646,2.8068572389152098,3.057294198383003,0.9793735412420859
